Name,Address,Contact no.,Email
Sanjeev Agrawal Global Educational University Bhopal,"Address : Katara Extension Sahar Bypass Road Bhopal, Dist : Alirajpur, Madhya Pradesh State, India",NA,sageuniversitybhopal@gmail.com
Tripura Institute Of Technology (Erstwhile Polytechnic Institute) Narsingarh,"Address : Po: Agartala Aerodrome, Narsingarh, Agartala, Tripura (West), Tripura 799009, Dist : West Tripura, India",381 - 2342330,mail2tit@gmail.com
Sasmiras Institute Of Man-Made Textiles Mumbai,"Address : Sasmira, Off Sasmira Marg, Worli, Dr. Annie Besant Road, Mumbai - 400030, Dist : Mumbai City, Maharashtra State, India",22 - 24918201,principal@sasmira.org
"Maulana Azad National Urdu University, Polytechnic Hyderabad","Address : Maulana Azad National Urdu University, Gachibowli, Hyderabad500 032, Telangana State, India",40 - 23008413,yousuf_lect@yahoo.com
Kipm-College Of Engineering & Technology Gorakhpur,"Address : Plot No. Bl-1 & 2, Sector-9, Gida Gorakhpur, Uttar Pradesh State, India",551 - 2580418,kipm08@gmail.com
St. Xaviers Catholic College Of Engineering Nagercoil,"Address : Chunkankadai, Kanyakumari District, Tamilnadu, Pin-629003 Nagercoil, Tamil Nadu State, India",4652 - 232560,info@sxcce.edu.in
Pondicherry Engineering College Puducherry,"Address : Pillaichavadi, Puducherry - 605014, India",413 - 2655214,principal@pec.edu
Kota Polytechnic College,"Address : Sp-1, Riico Industrial Area, Jhalawar Road, Kota -325003 (Rajasthan), Rajasthan State, India",744 - 2111345,kpckota@gmail.com
Saraswati Institute Of Engineering & Technology Ghaziabad,"Address : Nh_24, Pawla, Pilakhuwa, Ghaziabad, U.P-245304, Uttar Pradesh State, India",122 - 2961318,raviarora1962@gmail.com
"Shreeyash Pratishthans, Shreeyash College Of Engineering & Technology Aurangabad","Address : Gut No. 258, Satara Tanda, Aurangabad-431005dist: Aurangabadmaharashtra, Maharashtra State, India",240 - 2406608701,sycet@yahoo.com
Kashi Institute Of Technology Varanasi,"Address : Ms 23, Varanasi Allahabad Highway, Mirzamurad, Varanasi, Uttar Pradesh State, India",542 - 2637777,vipuljain62@gmail.com
Mass College Of Engineering & Management Hathras,"Address : Village & Post Susyant Kala, Aligarh-Agra Road, Near Mangalatayan, Sasni, Hathras, Uttar Pradesh State, India",571 - 2905553,masscem@gmail.com
Dreams College Of Polytechnique Saharanpur,"Address : 5th Km Milestone Janta Road Saharanpur, Uttar Pradesh State, India",132 - 2776670,sdct.ed@gmail.com
Sri Ramakrishna Institute Of Technology Coimbatore,"Address : Pachapalayam, Perur Chettipalayamcoimbatore - 641010 Coimbatore, Tamil Nadu State, India",422 - 2605577,principal@srit.org
"Department Of Computer Science And IT, Dr. Babasaheb Ambedkar Marathwada University Aurangabad","Address : Department Of Computer Science And It, Dr. Babasaheb Ambedkar Marathwada University, Aurangabad(Ms) - India, Maharashtra State",240 - 2403316,ratnadeep_deshmukh@yahoo.co.in
Ssm College Of Engineering Pattan,"Address : Divar, Parihaspora, Pattan, Baramulla Kashmir 193121, Jammu And Kashmir State, India",194 - 2496135,ssmkashmir@gmail.com
Nalanda Institute Of Technology Bhubaneswar,"Address : Bhudhist Villa, Nebad Bhuasani Temple Square, Similipatna, Chandaka, Bhubanesawr, Orissa. Bhubaneswar, Dist : Khordha, Odisha State, India",674 - 6543334,nitbbsr_2007@yahoo.co.in
Manav School Of Polytechnic Akola,"Address : Surat Nagpur Highway Nh 6, Vyala, Tal Balapur Akola, Maharashtra State, India",724 - 2450062,principal@manavpoytechnic.ac.in
Indira College Of Engineering & Management Pune,"Address : Sr. No. 64 And 65, Gat No. 276, At Post Parandwadi, Tal- Maval, Dist- Pune. 410506, Maharashtra State, India",2114 - 661500,principal@indiraicem.ac.in
Bhutta College Of Engineering & Technology Ludhiana,"Address : Alamgir Rara Sahib Road.Vpo Bhutta.District: Ludhiana., Punjab State, India",161 - 2852913,bcetldh@rediffmail.com
Government Tool Room And Training Centre Udupi Uppoor,"Address : K G Road, Thenkabettu Post, Uppoor., Dist : Udupi, Karnataka State, India",NA,gttcudupi@gmail.com
Indian Institute Of Handloom Technology Jodhpur,"Address : Nayapura, Chokha Road Jodhpur, Rajasthan State, India",291 - 2757115,iiht_jodhpur@rediffmail.com
Tezpur University,"Address : Napaamtezpur - 784 028district : Sonitpurassam, India Tezpur, Assam State",3712 - 267004,registrartu@tezu.ernet.in
"Birla Institute Of Technology, Patna","Address : Po B V College Near Jpn International Airport Patna, Bihar State, India",612 - 2223538,bitpatna@bitmesra.ac.in
"Government Polytechnic, Khutri","Address : Village : Khutri, Jaina More, Dist : Bokaro, Jharkhand State, India",6542 - 291237,gpkhutri@rediffmail.com
Government Engineering College Bhuj,"Address : New Raval Vadi Relocation Site, Near Sahayog Nagar Bhuj, Dist : Kutch, Gujarat State, India",2832 - 231164,gecbhuj@yahoo.com
Dr. D. Y. Patil Institute Of Engineering Management Research Pune,"Address : Sector 29, Pcntda, (Ravet), Nigdi Pradhikaran, Pune411044, Maharashtra State, India",20 - 27654470,principal.dypiemr@gmail.com
Radiant Institute Of Engineering & Technology Abohar,"Address : C/O Homoeopathic Medical Collegeopp. Bsf Cantonment, Hanumangarh Road, Abohar- 152116punjab, Dist : Firozpur, Punjab State, India",1634 - 234972,registrar@rietabh.ac.in
Jyothishmathi Institute Of Technology & Science Karimnagar,"Address : Nustulapur (Post)thimmapur (Mdl)karimnagar (Dist) Karimnagar, Telangana State, India",878 - 2223317,office@jits.ac.in
Swarna Bharathi Institute Of Science & Technology Khammam,"Khammam college is provider of Diploma, Graduate Degree, Post Graduate Engineering And Technology, Management courses. Get institute course list, fees and contact. .. more details",8742 - 8712112331,sbitengg@gmail.com
Shri Mallikarjuna Polytechnic Chitradurga,"Address : Nh-13, Pillekerenahalli Chitradurga, Karnataka State, India",8194 - 230653,raj.pplsmp@gmail.com
Vaigai College Of Engineering Therkutheru,"Address : Therkutheru, Melur Taluk, Madurai Therkutheru, Tamil Nadu State, India",452 - 2911009,vaigaiprincipal@gmail.com
Narayana Engineering College Guduru,"Address : Dhurjati Nagargudurunellore (Dt) Guduru, Dist : Nellore, Andhra Pradesh State, India",8624 - 252611,principal@necg.ac.in
Military College Of Telecommunication Engineering Mhow,"Address : Mhow (Mp) Mhow, Dist : Indore, Madhya Pradesh State, India",7324 - 255012,dscoordfce@gmail.com
Sarada Institute Of Science Technology And Management Srikakulam,"Address : Ampolu Roadgara Mandalsrikakulam-Pin 532404andhra Pradesh Srikakulam, Andhra Pradesh State, India",8942 - 9491399600,51.principal@jntuk.edu.in
Kalyani Charitable Trusts Late G.N.Sapkal College Of Engineering Anjaneri,"Address : Sapkal Knowledge Hub, Kalyani Hills, Anjaneri-Wadholi, Tal.Trimbakeshwar, Dist.Nashik (M.S.)pin-422 212 Nashik, Maharashtra State, India",2594 - 220175,gns_engineering@sapkalknowledgehub.org
Electronics Service And Training Centre Ramnagar,"Address : Village-Kaniya Ramnagar, Dist : Nainital, Uttarakhand State, India",NA,pd_estc@estcindia.com
University College Of Engineering Thirukkuvalai,"Address : Thirukkuvalai Thirukkuvalai, Dist : Nagapattinam, Tamil Nadu State, India",NA,deantkly@gmail.com
College Of Engineering Kidangoor Kottayam,"Address : College Of Engineering Kidangoor Kidangoor South P.O., Kottayam Pin: 686583, Kerala State, India",91482 - 2256056,cekcape@gmail.com
Compucom Institute Of Technology & Management Jaipur,"Address : Sp-3, 5, 5a, Epip, Riico Industrial Area, Sitapura, Jaipur (Rajasthan)-302022, Rajasthan State, India",141 - 5115908,compliance@ciitm.org
"Vishwakarma Government Engineering College, Chandkheda Ahmedabad","Address : Opp. Sangath Mall, Visat-Koba Road, Chandkheda Ahmedabad, Gujarat State, India",79 - 23293866,principal@vgecg.ac.in
R.P. Educational Trust Group Of Institutions Karnal,"Address : G.T. Road, Bastara, Karnal, Haryana State, India",1748 - 251613,drrajivsingal@gmail.com
"School Of Energy & Environmental Studies, Devi Ahilya Vishwavidayala Indore","Address : Takshashila Campus, Khandwa Roadindore (Mp)-452001 Indore, Madhya Pradesh State, India",731 - 2460309,spsanjali@gmail.com
Agnel Institute Of Technology And Design Assagao,"Address : Assagao, Bardez, Goa Assagao, Dist : North Goa, India",832 - 8322268642,aitdgoa@gmail.com
Scms School Of Engineering & Technology Cochin,"Address : Vidya Nagar, Palissery, Karukutty Cochin, Dist : Ernakulam, Kerala State, India",484 - 2450330,sset@scmsgroup.org
Visvesvaraya Technological University Department Of Pg Studies Belgaum,"Belgaum college is provider of Graduate Degree, Post Graduate Engineering And Technology, Management, Mca courses. Get institute course list, fees and contact. .. more details",NA,aictepgc@gmail.com
L. D. College Of Engineering Ahmedabad,"Address : Near Gujarat University, Navrangpura, Ahmedabad- 380015, India",79 - 26306752,principal@ldce.ac.in
"Malout Institute Of Management And Information Technology, Malout","Address : Malout Institute Of Management And Information Technology, Green Field Enclave, Near New Grain Market, Malout, 152107, Distt. Muktsar, Punjab, Dist : Mukatsar, India",1637 - 1637504302,principalmimitmalout@gmail.com
"Government Polytechnic College, Bagidora","Address : Village - Katariyapo - Balawada Tehsil - Bagidora District - Banswara Rajasthan 327603 Sirohi, India",2962 - 9414290753,gpc.bagidura@gmail.com
Xavier University Bhubaneswar,"Address : Plot No- 12(A), Nijigada, Kurki, Harirajpur Bhubaneswar, Dist : Puri, Odisha State, India",NA,vc-office@xub.edu.in
Periyar University Karuppur,"Address : Periyar Palkalai Nagar Karuppur, Dist : Salem, Tamil Nadu State, India",NA,aictemtech@periyaruniversity.ac.in
"Sophia Shree B.K.Somani Memorial Polytechnic, Mumbai","Address : Bhulabhai Desai Road Mumbai 400 026, Dist : Mumbai City, Maharashtra State, India",22 - 23513157,fashionddgm@gmail.com
Medi Caps University Indore,"Address : A.B. Road, Pigdamber Rau, Indore, Madhya Pradesh State, India",NA,info@medicaps.ac.in
Vidya Niketan College Of Engineering Bota,"Address : Gat No. 670, Vidyanagari, Pune- Nashik Road, At Post- Bota, Tal-Sangamner, Dist- Ahmednagar, Maharashtra State, India",2425 - 9970773719,vidyaniketan07@gmail.com
Gurudeva Institute Of Science And Technology Kottayam,"Address : Vennimala, Payyappady P O, Puthuppally, Kottayam - 686034, Kerala, India",481 - 2354800,gisatonline@gmail.com
Vijaya Vittala Institute Of Technology Bangalore,"Address : #35/1, Dodda Gubbi Post, Hennur-Bagalur Road Bangalore, Dist : Bangalore Urban, Karnataka State, India",80 - 65472867,vvit2009@gmail.com
"Templecity Institute Of Technology & Engineering ( Tite), Bhubaneswar Khordha","Address : Plot No. F/12, Iid Centreknowledge Campus, Barunei, Khurda, Orissa Khordha, Odisha State, India",6755 - 223367,hr.arijitdutta@gmail.com
Ballarpur Institute Of Technology Chandrapur,"Address : Mauja Bahmni, Rajura Road, Tehsil Ballarpur, Distict Chandrapur., Maharashtra State, India",7172 - 7720079166,bit.ballarpur@gmail.com
Bhonwal School Of Engineering Lucknow,"Address : Natkur, Bijnaur-Banthra Road, Lucknow, Uttar Pradesh State, India",522 - 2207308,rbhonwal@yahoo.co.in
Ramgovind Institute Of Technology Kodarma,"Address : Mahuvan, Mahautanar, P.O. Karma, Jhumri Tillaiya, Kodarma, Dist : Koderma, Jharkhand State, India",6534 - 226529,info@ritk.org
Central Institute Of Plastics Engineering & Technology CIPET Gwalior,"Address : Survey No-47/1, 52/1, 53, 55/1, Maharajpura Dang Gwalior, Madhya Pradesh State, India",NA,cipetgwalior@gmail.com
Jayamukhi Institute Of Technological Sciences Warangal,"Address : Chennaraopet(Mdl), Moqdumpuram(Vill), Narsampet, Warangal(Dist)andhrapradesh., Telangana State, India",8718 - 208586,admin@jits.in
Indian Institute Of Remote Sensing Dehradun,"Address : 4 Kalidas Road, Dehradun, Uttarakhand State, India",NA,director@iirs.gov.in
Dkte Societys Yashwantrao Chavan Polytechnic Ichalkaranji,"Address : R.S.No. 644, Sangli Road, Near Adinath Society, Ichalkaranji, Dist : Kolhapur, Maharashtra State, India",230 - 2436612,dkteycp@gmail.com
Chiranjeevi Reddy Institute Of Engineering And Technology Anantapur,"Address : St. Mark Campus, Bellary Road, Anantapur, Andhra Pradesh State, India",8554 - 254302,chiranjeevireddy9999@gmail.com
Tirupati College Of Engineering Mohanlalganj,"Address : Village-Bendowa Block Mohanlalganj, Raebareli Raod, Lucknow, Uttar Pradesh State, India",522 - 275500,tbewt.lko@gmail.com
Sridevi Womens Engineering College Hyderabad,"Address : Sridevi Womens Engineering Collegev.N.Pally, Near Gandhipet, Rr Hyderabad, Dist : Rangareddi, Telangana State, India",8413 - 8413234333,swecrecruit2001@gmail.com
Government Polytechnic College Sendhwa,"Address : Government Polytechnic College Sendhwa, Village - Madgaon, Tehsil - Sendhwa, District - Barwani (Mp), Madhya Pradesh State, India",7281 - 7281222583,prinpoly.senbdw@mp.gov.in
Pacific Institute Of Technology Udaipur,"Address : Pb.12, Pratap Nagar Ext., Airport Road, Udaipur-313003, Rajasthan State, India",294 - 2494519,director@pacific-it.ac.in
Stella Marys College Of Engineering Azhikal,"Azhikal college is provider of Graduate Degree, Post Graduate Engineering And Technology courses. Get institute course list, fees and contact. .. more details",4651 - 239122,smce@outlook.com
Valia Koonambaikulathamma College Of Engineering And Technology,"Address : Chavarcode, Parippally, Thiruvananthapuram Kerala State, India","0470-2665223, 8281449223, +91-8547761344, 470 - 2665222",vksbkt2008@gmail.com
Sanjay Ghodawat University Atigre,"Address : A/P-Atigre Atigre, Dist : Kolhapur, Maharashtra State, India",NA,registrar@sanjayghodawatuniversity.ac.in
School Of Diploma Engineering Soldha,"Address : Soldha, Bahadurgarh-Badli Road, Bahadurgarh, Haryana Soldha, Dist : Jhajjar, India",1276 - 250200,director@gangatechnicalcampus.com
Himachal Pradesh Technical University Hamirpur,"Address : Village & Post Office-Daruhi Hamirpur, Himachal Pradesh State, India",NA,deanmgmthptu@gmail.com
S R Engineering College Warangal,"Address : Ananthasagar (V), Hasanparthy (M), Warangal (Dist.)andhra Pradesh, Telangana State, India",870 - 2818333,principal@srecwarangal.ac.in
College Of Engineering Science & Technology Mohanlalganj,"Address : Gaura, Mohanlalganj, Lucknow, Uttar Pradesh State, India",522 - 5224000917,registrar@surya.edu.in
Mata Gujri Memorial Polytechnic College Gurdaspur,"Address : Village Balwanda, P.O Chack Sharief, Distt.Gurdaspur, Pinjab Gurdaspur, Punjab State, India",1874 - 247290,kuldip.mgm@gmail.com
"Government Polytechnic College, Bhilwara","Address : Govt. Polytechnic College, Tilak Nagar, Bhilwara Pin-311001, Rajasthan State, India",1482 - 250111,gpc.bhilwara@gmail.com
Snsk Institute Of Technology Bhawaraha,,NA,baldevcollege@gmail.com
Aryabharathi Polytechnic Tumkur,"Address : Sri H M Gangadharaiah Road, Saraswathipuram Tumkur, Karnataka State, India",816 - 9483859800,principalaryabharathi@gmail.com
Shri Ram College Of Engineering & Management Palwal,"Address : 70 Km Stone, Delhi-Mathura Road, Nh-2, Palwal, Haryana State, India",1275 - 298198,info@srcem.ac.in
St Thomas Institute For Science And Technology Trivandrum,"Address : Mar Chrysostom Nagar, Kattaikonam P O Trivandrum, Dist : Thiruvananthapuram, Kerala State, India",471 - 2410640,principal.stist@gmail.com
Amiraj College Of Engineering & Technology Khoraj,"Address : At Village: Khoraj Nr. Tata-Neno Plant, Sarkhej-Viramgam Highway Ta.: Sanand Dist. : Ahmedabad Pincode:382170, Gujarat State, India",79 - 26445553,priyank.patel@amirajcollege.in
"Dhole Patil Education Societys, Dhole Patil College Of Engineering. Pune","Address : 1284, Ubale Nagar, Wagholi, Pune - 412207., Maharashtra State, India",20 - 66059900,dpcoepune@gmail.com
Atme College Of Engineering Mysore,"Address : Sy.No.1002, Harohalli (Mellahalli) Mysore, Karnataka State, India",821 - 8212593335,info@atme.in
"Government Polytechnic, Yavatmal","Address : Dhamangao Road, Yavatmal, Maharashtra State, India",7232 - 246356,principal.grwpyavatmal@dtemaharashtra.gov.in
S.E.T Polytechnic Melkote,"Address : Pandavapura Taluk, Melkote, Dist : Mandya, Karnataka State, India",8236 - 8236299851,set.melkote@gmail.com
Excel College Of Engineering & Technology Komarapalayam,"Address : Nh 47 Salem Main Roadsankari West Post, Tiruchengode Taluk, Pallakapalayam - 637303namakkal Districttamilnadu Komarapalayam, Dist : Namakkal, Tamil Nadu State, India",4288 - 294089,aknatesan@yahoo.com
Shri Siddhi Vinayak Institute Of Technology Bareilly,"Address : Dohna Pitamrai Near Dhona Railway Station P.O Bhojipura Distt Bareilly 243002, Uttar Pradesh State, India",581 - 2585018,akapoor147@gmail.com
J D College Of Engineering And Management Nagpur,"Address : At:khandala, Post: Valni, Katol Road, Nagpur 441 501, Maharashtra State, India",712 - 2023001,principal@jdcoem.ac.in
Sanjeevan Engineering & Technology Institute Panhala,"Address : Sanjeevan Knowledge City, Somwar Peth, Tal. Panhala, Dist. Kolhapur. Pin 416201, Maharashtra State, India",231 - 2686600,principal@seti.edu.in
Thirumagal Polytechnic College Padappai,"Address : 144, Vanchuvanchery, Padappai Post, Kanchipuram District, Tamil Nadu State, India",44 - 27107540,thirumagalpolytechnic@gmail.com
